date,005930.KS
2024-12-18,53266.64453125
2024-12-19,51520.20703125
2024-12-20,51423.1796875
2024-12-23,51908.3046875
2024-12-24,52781.53125
2024-12-26,52005.328125
2024-12-27,52457.6171875
2024-12-30,51969.18359375
2025-01-02,52164.55859375
2025-01-03,53141.421875
2025-01-06,54606.71875
2025-01-07,54118.2890625
2025-01-08,55974.33203125
2025-01-09,54802.09375
2025-01-10,54020.6015625
2025-01-13,52848.3671875
2025-01-14,52652.9921875
2025-01-15,52457.6171875
2025-01-16,53043.73828125
2025-01-17,52457.6171875
2025-01-20,52164.55859375
2025-01-21,52262.24609375
2025-01-22,53043.73828125
2025-01-23,52457.6171875
2025-01-24,52457.6171875
2025-01-31,51187.6953125
2025-02-03,49820.0859375
2025-02-04,51480.75390625
2025-02-05,51676.125
2025-02-06,52750.6796875
2025-02-07,52457.6171875
2025-02-10,54313.6640625
2025-02-11,54411.34375
2025-02-12,54509.03125
2025-02-13,54509.03125
2025-02-14,54704.41015625
2025-02-17,54704.41015625
2025-02-18,55583.58203125
2025-02-19,57341.9375
2025-02-20,57048.87890625
2025-02-21,56853.5078125
2025-02-24,55974.33203125
2025-02-25,55876.64453125
2025-02-26,55290.52734375
2025-02-27,54997.4609375
2025-02-28,53239.109375
2025-03-04,53239.109375
2025-03-05,52750.6796875
2025-03-06,53043.73828125
2025-03-07,52457.6171875
2025-03-10,52457.6171875
2025-03-11,52359.9296875
2025-03-12,53629.85546875
2025-03-13,53434.484375
2025-03-14,53434.484375
2025-03-17,56267.38671875
2025-03-18,56267.38671875
2025-03-19,57146.5703125
2025-03-20,58807.234375
2025-03-21,60272.53515625
2025-03-24,59100.29296875
2025-03-25,58416.4921875
2025-03-26,59979.4765625
2025-03-27,60370.21875
2025-03-28,59156.625
2025-03-31,56798.22265625
2025-04-01,57780.890625
2025-04-02,57780.890625
2025-04-03,56601.68359375
2025-04-04,55127.68359375
2025-04-07,52277.9453125
2025-04-08,52572.75
2025-04-09,52081.4140625
2025-04-10,55422.484375
2025-04-11,54243.28515625
2025-04-14,55225.953125
2025-04-15,55619.01953125
2025-04-16,53751.94921875
2025-04-17,54145.015625
2025-04-18,54341.5546875
2025-04-21,54439.8203125
2025-04-22,54046.74609375
2025-04-23,54734.6171875
2025-04-24,54734.6171875
2025-04-25,54734.6171875
2025-04-28,54832.88671875
2025-04-29,54832.88671875
2025-04-30,54538.0859375
2025-05-02,53358.88671875
2025-05-07,53653.68359375
2025-05-08,53653.68359375
2025-05-09,53850.21484375
2025-05-12,56601.68359375
2025-05-13,55913.82421875
2025-05-14,56405.15234375
2025-05-15,56306.890625
2025-05-16,55815.5546875
2025-05-19,54832.88671875
2025-05-20,54931.15234375
2025-05-21,54734.6171875
2025-05-22,53751.94921875
2025-05-23,53260.6171875
2025-05-26,53751.94921875
2025-05-27,52965.81640625
2025-05-28,54931.15234375
2025-05-29,55127.68359375
2025-05-30,55225.953125
2025-06-02,55815.5546875
2025-06-04,56798.22265625
2025-06-05,58075.69140625
2025-06-09,58763.55859375
2025-06-10,58173.95703125
2025-06-11,58861.82421875
2025-06-12,58468.75390625
2025-06-13,57289.5546875
2025-06-16,56208.625
2025-06-17,57093.0234375
2025-06-18,58763.55859375
2025-06-19,58173.95703125
2025-06-20,58468.75390625
2025-06-23,56994.75390625
2025-06-24,59451.42578125
2025-06-25,60237.5625
2025-06-26,59156.625
2025-06-27,60112.6953125
2025-06-30,59124.0
2025-07-01,59519.4765625
2025-07-02,60112.6953125
2025-07-03,63078.78125
2025-07-04,62584.43359375
2025-07-07,61002.51953125
2025-07-08,60705.9140625
2025-07-09,59717.21484375
2025-07-10,60310.43359375
2025-07-11,61892.34765625
2025-07-14,61793.4765625
2025-07-15,62979.9140625
2025-07-16,63968.609375
2025-07-17,65946.0
2025-07-18,66341.484375
2025-07-21,67033.5625
2025-07-22,65253.9140625
2025-07-23,65649.390625
2025-07-24,65253.9140625
2025-07-25,65155.046875
2025-07-28,69604.171875
2025-07-29,69801.9140625
2025-07-30,71779.3046875
2025-07-31,70592.8671875
2025-08-01,68121.125
2025-08-04,68912.09375
2025-08-05,69109.828125
2025-08-06,68022.2578125
2025-08-07,69703.0390625
2025-08-08,70988.3515625
2025-08-11,70197.390625
2025-08-12,70296.265625
2025-08-13,71087.2109375
2025-08-14,70790.609375
2025-08-18,69208.6953125
2025-08-19,69208.6953125
2025-08-20,69703.0390625
2025-08-21,69801.9140625
2025-08-22,70592.8671875
2025-08-25,70691.734375
2025-08-26,69505.3046875
2025-08-27,69801.9140625
2025-08-28,68813.21875
2025-08-29,68912.09375
2025-09-01,66835.828125
2025-09-02,68318.8671875
2025-09-03,69010.953125
2025-09-04,69307.5625
2025-09-05,68714.34375
2025-09-08,69307.5625
2025-09-09,70691.734375
2025-09-10,71779.3046875
2025-09-11,72570.2578125
2025-09-12,74547.65625
2025-09-15,75635.2109375
2025-09-16,78502.4375
2025-09-17,77315.9921875
2025-09-18,79392.2578125
2025-09-22,82556.0859375
2025-09-23,83742.5234375
2025-09-24,84434.609375
2025-09-25,85126.6953125
2025-09-26,82358.34375
2025-09-29,83619.59375
2025-09-30,83321.6640625
2025-10-01,85407.1875
2025-10-02,89131.3359375
2025-10-10,93749.28125
2025-10-13,92656.8671875
2025-10-14,90968.5859375
2025-10-15,94345.1484375
2025-10-16,97026.5390625
2025-10-17,97225.1640625
2025-10-20,97423.78125
